Feature,Importance
add,0.23566517375351168
ssc,0.23545009629077393
gan,0.23524061859015855
zer,0.23451215513129176
jen,0.23407574768438583
ngs,0.23407574768438583
oß,0.23391462690220483
voß,0.23391462690220483
erv,0.23388269327571545
ahl,0.23330958656809314
bi,0.2329907337137901
lps,0.23275008850446716
elp,0.23275008850446716
mey,0.2326392534269646
run,0.23260881097000785
dd,0.23239509245351328
mat,0.2321139545237563
sie,0.2315620009387946
or,0.23128330963678845
hie,0.23077097151461815
wsk,0.22977899534809104
ska,0.22947766060455285
coo,0.2292646237925193
spi,0.22869413100638458
koç,0.22740032404406943
oç,0.22740032404406943
coc,0.22720491319862454
bj,0.22659686742378088
ze,0.22615039767199704
nde,0.22611467413766526
uh,0.2247481579770859
huh,0.2247481579770859
isa,0.22464145068230593
sak,0.22464145068230593
msi,0.2240239216635887
phe,0.22388622423010746
lp,0.22388622423010746
sal,0.22364421154552966
dv,0.2235998743308509
ind,0.2235262474616387
lan,0.22336359818099816
io,0.22327726177302867
 wi,0.22325441449582617
enz,0.22232450983305171
pp,0.22219066196656398
ppe,0.22219066196656398
vr,0.22215911081089937
oi,0.22124868439764434
eic,0.22121839421649253
ik,0.22079471574168183
use,0.2204673860897044
sw,0.22037813545250617
eys,0.21966822671660208
tev,0.21957235187459098
kh,0.21915250596063712
fen,0.21911952972683715
gul,0.21903454352572135
hee,0.2176626237957464
ks,0.21733821014339563
cr,0.2165655350293647
wel,0.2160456906554394
laa,0.2159704603461916
tel,0.2159294532465525
os,0.21576831213981937
dan,0.21530895221086768
min,0.21478173741883755
nke,0.21463288292271399
vic,0.21404151648509243
lbe,0.21353317107086434
let,0.21343025248321035
neu,0.21324685763949006
zeg,0.2124370084631277
rod,0.21228414931539755
eni,0.21186423832548573
lut,0.21160406760257644
uth,0.21160406760257644
adk,0.21159415330391843
dki,0.21159415330391843
dk,0.21159415330391843
rde,0.21127189728807438
au,0.21123295147635865
fue,0.2109835013178308
a ,0.2109835013178308
la ,0.2109835013178308
a f,0.2109835013178308
 f,0.2109835013178308
uen,0.2109835013178308
fu,0.2109835013178308
 fu,0.2109835013178308
gar,0.21072163193271004
aar,0.210446689993719
ofe,0.21008808507709587
agt,0.2099749928229699
bö,0.2097069133061856
nen,0.20918604738381052
hn,0.2088673676263336
hul,0.20863152581623934
alt,0.20862652816346555
te,0.20851533676784098
uys,0.2084884542476843
rge,0.2074878264890395
rda,0.20738485090217681
gth,0.20736191148686842
rui,0.20685552718224792
il,0.20667684372974518
arl,0.20631649760909937
ape,0.20624696879427878
san,0.20591740405872325
eit,0.20497439360830522
bre,0.20290510027195635
ieg,0.20285496137526965
eis,0.20239055522736973
be,0.20238672475407166
ya,0.20066844690261876
utt,0.200081737660157
bau,0.20001238173116936
elo,0.1999978630320695
kui,0.19989106422891723
ort,0.1998063478591427
euw,0.1994610607012997
eeu,0.1994610607012997
eo,0.1994474377835635
ls,0.19939257703109636
rli,0.1992457776524004
dt,0.19923438471100505
erl,0.19915355506823593
dvo,0.1988105080524214
ldv,0.1988105080524214
ide,0.1983422392532121
att,0.19772492110058237
eul,0.19748723769420487
rt,0.19695840065564954
ikk,0.19637361520996893
kik,0.19637361520996893
